Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status
barebells-chocolate-dough,Barebells Chocolate Dough Protein Bar,"<p>20g protein, no added sugar, 198 kcal, 7g fiber. 55g bar.</p>",Barebells,Protein Bar,"protein bar, barebells, bulk",TRUE,Size,Single Bar,BB-CHOCODOUGH-1,55,,continue,manual,3.29,TRUE,TRUE,active
barebells-chocolate-dough,,,,,,,,Box of 12,BB-CHOCODOUGH-12,660,,continue,manual,35.88,TRUE,TRUE,
barebells-salty-peanut,Barebells Salty Peanut Protein Bar,"<p>20g protein, no added sugar, 203 kcal, 5g fiber. 55g bar.</p>",Barebells,Protein Bar,"protein bar, barebells, bulk",TRUE,Size,Single Bar,BB-SALTYPEANUT-1,55,,continue,manual,3.29,TRUE,TRUE,active
barebells-salty-peanut,,,,,,,,Box of 12,BB-SALTYPEANUT-12,660,,continue,manual,35.88,TRUE,TRUE,
barebells-white-chocolate-almond,Barebells White Chocolate Almond Protein Bar,"<p>20g protein, no added sugar, 196 kcal, 6g fiber. 55g bar.</p>",Barebells,Protein Bar,"protein bar, barebells, bulk",TRUE,Size,Single Bar,BB-WHITECHOCALMOND-1,55,,continue,manual,3.29,TRUE,TRUE,active
barebells-white-chocolate-almond,,,,,,,,Box of 12,BB-WHITECHOCALMOND-12,660,,continue,manual,35.88,TRUE,TRUE,
barebells-caramel-cashew,Barebells Caramel Cashew Protein Bar,"<p>20g protein, no added sugar, 200 kcal, 6g fiber. 55g bar.</p>",Barebells,Protein Bar,"protein bar, barebells, bulk",TRUE,Size,Single Bar,BB-CARAMELCASHEW-1,55,,continue,manual,3.29,TRUE,TRUE,active
barebells-caramel-cashew,,,,,,,,Box of 12,BB-CARAMELCASHEW-12,660,,continue,manual,35.88,TRUE,TRUE,
barebells-cookies-and-cream,Barebells Cookies & Cream Protein Bar,"<p>20g protein, no added sugar, 199 kcal, 7g fiber. 55g bar.</p>",Barebells,Protein Bar,"protein bar, barebells, bulk",TRUE,Size,Single Bar,BB-COOKIESCREAM-1,55,,continue,manual,3.29,TRUE,TRUE,active
barebells-cookies-and-cream,,,,,,,,Box of 12,BB-COOKIESCREAM-12,660,,continue,manual,35.88,TRUE,TRUE,
barebells-hazelnut-nougat,Barebells Hazelnut & Nougat Protein Bar,"<p>20g protein, no added sugar, 201 kcal, 5g fiber. 55g bar.</p>",Barebells,Protein Bar,"protein bar, barebells, bulk",TRUE,Size,Single Bar,BB-HAZELNUTNOUGAT-1,55,,continue,manual,3.29,TRUE,TRUE,active
barebells-hazelnut-nougat,,,,,,,,Box of 12,BB-HAZELNUTNOUGAT-12,660,,continue,manual,35.88,TRUE,TRUE,
barebells-coconut-chocolate,Barebells Coconut Chocolate Protein Bar,"<p>20g protein, no added sugar, 194 kcal, 6g fiber. 55g bar.</p>",Barebells,Protein Bar,"protein bar, barebells, bulk",TRUE,Size,Single Bar,BB-COCONUTCHOCO-1,55,,continue,manual,3.29,TRUE,TRUE,active
barebells-coconut-chocolate,,,,,,,,Box of 12,BB-COCONUTCHOCO-12,660,,continue,manual,35.88,TRUE,TRUE,
barebells-white-salty-peanut,Barebells White Salty Peanut Protein Bar,"<p>20g protein, no added sugar, 197 kcal, 5g fiber. 55g bar.</p>",Barebells,Protein Bar,"protein bar, barebells, bulk",TRUE,Size,Single Bar,BB-WHITESALTYPEANUT-1,55,,continue,manual,3.29,TRUE,TRUE,active
barebells-white-salty-peanut,,,,,,,,Box of 12,BB-WHITESALTYPEANUT-12,660,,continue,manual,35.88,TRUE,TRUE,
